velocity_kms flux_normalized error
245.6350 0.9132 0.0371
248.1371 0.9575 0.0381
250.6392 1.0017 0.0393
253.1412 0.9845 0.0392
255.6434 0.9688 0.0387
258.1455 0.9684 0.0390
260.6476 1.0479 0.0397
263.1498 1.0290 0.0396
265.6520 0.9791 0.0384
268.1542 0.9417 0.0379
270.6565 0.9159 0.0375
273.1587 0.9856 0.0387
275.6610 0.9796 0.0383
278.1633 0.9713 0.0383
280.6656 0.9677 0.0388
283.1679 0.9532 0.0387
285.6703 0.9796 0.0386
288.1727 0.9730 0.0383
290.6751 0.9656 0.0381
293.1775 0.9865 0.0385
295.6800 0.9795 0.0385
298.1824 0.9424 0.0379
