[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] Script: step_03_significance
[22:25:47] [INFO] Started: 2026-08-07T22:25:47.205139
[22:25:47] [INFO] ================================================================================
[22:25:47] [SUCCESS] === GATE 3R: GENUINE MONTE CARLO CALIBRATION ===
[22:25:47] [PROCESS] Pre-calculating base True-D model fluxes...
[22:25:47] [INFO] 
[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] 
--- Running True-D Monte Carlo Simulations (200 realizations) ---
[03:01:57] [PROCESS] Completed 159/200 simulations. Parent exceedances (>=6.45): 13
[03:02:04] [PROCESS] Completed 160/200 simulations. Parent exceedances (>=6.45): 13
[03:02:12] [PROCESS] Completed 161/200 simulations. Parent exceedances (>=6.45): 13
[03:02:39] [PROCESS] Completed 162/200 simulations. Parent exceedances (>=6.45): 13
[03:04:26] [PROCESS] Completed 163/200 simulations. Parent exceedances (>=6.45): 13
[03:04:40] [PROCESS] Completed 164/200 simulations. Parent exceedances (>=6.45): 13
[03:06:36] [PROCESS] Completed 165/200 simulations. Parent exceedances (>=6.45): 13
[03:12:51] [PROCESS] Completed 166/200 simulations. Parent exceedances (>=6.45): 13
[03:14:52] [PROCESS] Completed 167/200 simulations. Parent exceedances (>=6.45): 13
[03:18:49] [PROCESS] Completed 168/200 simulations. Parent exceedances (>=6.45): 13
[03:18:50] [PROCESS] Completed 169/200 simulations. Parent exceedances (>=6.45): 13
[03:26:35] [PROCESS] Completed 170/200 simulations. Parent exceedances (>=6.45): 13
[03:28:09] [PROCESS] Completed 171/200 simulations. Parent exceedances (>=6.45): 13
[03:28:44] [PROCESS] Completed 172/200 simulations. Parent exceedances (>=6.45): 13
[03:30:43] [PROCESS] Completed 173/200 simulations. Parent exceedances (>=6.45): 14
[03:31:42] [PROCESS] Completed 174/200 simulations. Parent exceedances (>=6.45): 14
[03:33:14] [PROCESS] Completed 175/200 simulations. Parent exceedances (>=6.45): 14
[03:33:32] [PROCESS] Completed 176/200 simulations. Parent exceedances (>=6.45): 14
[03:33:37] [PROCESS] Completed 177/200 simulations. Parent exceedances (>=6.45): 14
[03:37:38] [PROCESS] Completed 178/200 simulations. Parent exceedances (>=6.45): 14
[08:25:32] [PROCESS] Completed 179/200 simulations. Parent exceedances (>=6.45): 14
[08:27:05] [PROCESS] Completed 180/200 simulations. Parent exceedances (>=6.45): 14
[08:27:44] [PROCESS] Completed 181/200 simulations. Parent exceedances (>=6.45): 14
[08:28:10] [PROCESS] Completed 182/200 simulations. Parent exceedances (>=6.45): 14
[08:28:38] [PROCESS] Completed 183/200 simulations. Parent exceedances (>=6.45): 14
[08:28:46] [PROCESS] Completed 184/200 simulations. Parent exceedances (>=6.45): 14
[08:28:49] [PROCESS] Completed 185/200 simulations. Parent exceedances (>=6.45): 14
[08:29:26] [PROCESS] Completed 186/200 simulations. Parent exceedances (>=6.45): 14
[08:29:34] [PROCESS] Completed 187/200 simulations. Parent exceedances (>=6.45): 14
[08:29:53] [PROCESS] Completed 188/200 simulations. Parent exceedances (>=6.45): 14
[08:29:55] [PROCESS] Completed 189/200 simulations. Parent exceedances (>=6.45): 14
[08:30:01] [PROCESS] Completed 190/200 simulations. Parent exceedances (>=6.45): 14
[08:30:24] [PROCESS] Completed 191/200 simulations. Parent exceedances (>=6.45): 14
[08:30:26] [PROCESS] Completed 192/200 simulations. Parent exceedances (>=6.45): 14
[08:31:06] [PROCESS] Completed 193/200 simulations. Parent exceedances (>=6.45): 14
[08:31:51] [PROCESS] Completed 194/200 simulations. Parent exceedances (>=6.45): 14
[08:32:02] [PROCESS] Completed 195/200 simulations. Parent exceedances (>=6.45): 14
[08:32:25] [PROCESS] Completed 196/200 simulations. Parent exceedances (>=6.45): 14
[08:32:33] [PROCESS] Completed 197/200 simulations. Parent exceedances (>=6.45): 15
[08:32:42] [PROCESS] Completed 198/200 simulations. Parent exceedances (>=6.45): 15
[08:33:00] [PROCESS] Completed 199/200 simulations. Parent exceedances (>=6.45): 15
[08:33:14] [PROCESS] Completed 200/200 simulations. Parent exceedances (>=6.45): 15
[08:33:14] [PROCESS] 
Observed T_obs (standard) = 77.85
[08:33:14] [PROCESS] Observed T_obs (best parent) = 6.45
[08:33:14] [PROCESS] Exceedances (T_sim >= 6.45): 15
[08:33:14] [PROCESS] Calibrated p_add_one for parent reassignment = 0.07960
[08:33:14] [INFO] 
[08:33:14] [INFO] ================================================================================
[08:33:14] [INFO] 
--- Genuine Leave-One-Out Robustness Constraints ---
[08:33:14] [INFO] ================================================================================
[08:33:14] [INFO] 
[08:33:25] [PROCESS] Leave-one-out coadd 'q1011p2941_C1x1.dat': T = 50.70 (D=-11439.21, H=-11413.85)
[08:33:37] [PROCESS] Leave-one-out coadd 'q1011p2941_C5x2.dat': T = 68.74 (D=-15753.73, H=-15719.36)
[08:33:49] [PROCESS] Leave-one-out coadd 'q1011p2941_C1x2.dat': T = 66.91 (D=-14718.66, H=-14685.20)
[08:34:01] [PROCESS] Leave-one-out coadd 'q1011p2941_C5x1.dat': T = 43.84 (D=-11882.91, H=-11860.99)
[08:34:24] [PROCESS] Leave-one-out transition 'Lyα': T = 2.22 (D=-14486.76, H=-14485.65)
[08:34:37] [PROCESS] Leave-one-out transition 'Lyβ': T = 69.39 (D=-16123.91, H=-16089.21)
[08:34:56] [PROCESS] Leave-one-out transition 'Lyγ': T = 75.37 (D=-15703.00, H=-15665.32)
[08:34:56] [INFO] 
[08:34:56] [INFO] ================================================================================
[08:34:56] [INFO] 
--- Parent Component Reassignment Robustness ---
[08:34:56] [INFO] ================================================================================
[08:34:56] [INFO] 
